
;Dato mensual;;;Tasa de variación anual;;;Acumulado del año;;;Tasa de variación del acumulado;;;
;Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);
   Cataluña;938.00;1,008,00;197.00;59.92;6.43;31.52;1,745,25;1,010,00;176.00;70.42;6.97;30.90;
   Comunidad Valenciana;612.76;1,272,00;125.00;29.26;5.52;6.06;1,152,52;1,198,00;118.00;44.58;1.32;10.61;
   Madrid (Comunidad de);725.27;1,599,00;287.00;80.29;12.44;23.82;1,590,27;1,635,00;242.00;101.65;10.09;6.42;
   Resto CCAA;391.53;909.00;138.00;39.02;10.21;31.27;862.95;998.00;127.00;52.31;20.19;32.19;
2023M01;;;;;;;;;;;;;
   TOTAL;5,216,94;1,262,00;149.00;71.62;3.82;19.97;5,216,94;1,262,00;149.00;71.62;3.82;19.97;
   Andalucia;674.59;1,188,00;124.00;79.19;2.11;28.23;674.59;1,188,00;124.00;79.19;2.11;28.23;
   Illes Balears;144.17;1,128,00;129.00;42.30;-7.40;19.57;144.17;1,128,00;129.00;42.30;-7.40;19.57;
   Canarias;1,714,73;1,418,00;164.00;51.75;-4.66;9.70;1,714,73;1,418,00;164.00;51.75;-4.66;9.70;
   Cataluña;807.26;1,013,00;157.00;84.49;7.66;32.39;807.26;1,013,00;157.00;84.49;7.66;32.39;
   Comunidad Valenciana;539.77;1,124,00;111.00;67.05;-2.29;18.45;539.77;1,124,00;111.00;67.05;-2.29;18.45;
   Madrid (Comunidad de);865.01;1,667,00;214.00;123.89;7.02;-4.05;865.01;1,667,00;214.00;123.89;7.02;-4.05;
   Resto CCAA;471.42;1,086,00;119.00;65.44;29.95;34.52;471.42;1,086,00;119.00;65.44;29.95;34.52;
2022M12;;;;;;;;;;;;;
