
;Dato mensual;;;Tasa de variación anual;;;Acumulado del año;;;Tasa de variación del acumulado;;;
;Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);
   Canarias;1,295,13;1,174,00;142.00;-3.91;9.34;9.79;5,772,22;1,196,00;141.00;1.73;3.61;5.88;
   Cataluña;1,512,09;963.00;189.00;0.83;12.64;7.14;4,585,14;982.00;191.00;6.52;8.27;10.31;
   Comunidad Valenciana;675.07;877.00;93.00;4.03;1.37;-3.36;2,155,24;939.00;97.00;8.71;-0.13;-1.20;
   Madrid (Comunidad de);774.47;1,227,00;264.00;-3.20;3.15;17.48;2,629,38;1,188,00;233.00;4.03;-1.70;4.30;
   Resto CCAA;519.24;711.00;111.00;7.97;-10.44;-1.15;1,597,74;825.00;107.00;10.85;-3.08;-6.11;
2018M03;;;;;;;;;;;;;
   TOTAL;5,726,73;1,062,00;142.00;12.08;2.12;0.80;14,787,10;1,078,00;138.00;8.11;1.98;3.14;
   Andalucia;900.66;1,143,00;108.00;10.59;1.16;3.74;2,158,19;1,133,00;105.00;9.16;4.67;4.61;
   Illes Balears;398.01;992.00;144.00;33.94;8.62;4.14;665.19;982.00;133.00;21.59;6.93;1.85;
   Canarias;1,611,31;1,196,00;139.00;6.66;1.61;-1.40;4,477,10;1,202,00;140.00;3.48;1.74;4.70;
   Cataluña;1,145,32;941.00;203.00;8.26;2.72;3.63;3,073,05;992.00;192.00;9.56;5.76;11.98;
   Comunidad Valenciana;607.35;971.00;100.00;17.64;-0.93;-2.00;1,480,17;970.00;99.00;10.98;-1.16;-0.21;
   Madrid (Comunidad de);655.29;1,170,00;259.00;18.54;1.16;8.34;1,854,91;1,172,00;222.00;7.37;-3.71;-0.30;
   Resto CCAA;408.79;901.00;117.00;13.47;6.15;-5.56;1,078,50;895.00;106.00;12.29;1.24;-8.40;
2018M02;;;;;;;;;;;;;
   TOTAL;4,535,94;1,075,00;141.00;5.37;2.90;7.00;9,060,37;1,088,00;136.00;5.75;1.94;4.39;
   Andalucia;660.49;1,139,00;102.00;11.17;12.08;3.36;1,257,53;1,125,00;102.00;8.16;7.07;5.13;
   Illes Balears;154.10;986.00;126.00;4.53;8.85;-3.35;267.17;969.00;120.00;6.92;4.66;-2.46;
   Canarias;1,418,82;1,189,00;139.00;1.34;0.58;8.61;2,865,79;1,206,00;141.00;1.77;1.82;8.03;
   Cataluña;1,023,49;1,008,00;199.00;10.44;7.54;27.21;1,927,73;1,025,00;186.00;10.35;7.70;16.69;
   Comunidad Valenciana;437.54;973.00;108.00;2.86;-1.74;3.49;872.82;969.00;99.00;6.77;-1.31;0.88;
   Madrid (Comunidad de);555.52;1,143,00;245.00;2.09;-5.24;4.71;1,199,62;1,174,00;206.00;2.12;-5.99;-4.54;
   Resto CCAA;285.98;846.00;102.00;7.20;0.98;-14.13;669.71;891.00;100.00;11.58;-1.68;-9.94;
2018M01;;;;;;;;;;;;;
   TOTAL;4,524,43;1,102,00;132.00;6.13;0.94;1.95;4,524,43;1,102,00;132.00;6.13;0.94;1.95;
   Andalucia;597.05;1,110,00;102.00;5.03;1.90;7.00;597.05;1,110,00;102.00;5.03;1.90;7.00;
   Illes Balears;113.08;947.00;113.00;10.35;-0.99;-1.01;113.08;947.00;113.00;10.35;-0.99;-1.01;
   Canarias;1,446,97;1,223,00;143.00;2.21;3.07;7.42;1,446,97;1,223,00;143.00;2.21;3.07;7.42;
   Cataluña;904.24;1,046,00;174.00;10.25;7.88;6.27;904.24;1,046,00;174.00;10.25;7.88;6.27;
   Comunidad Valenciana;435.28;965.00;91.00;11.00;-0.80;-0.87;435.28;965.00;91.00;11.00;-0.80;-0.87;
   Madrid (Comunidad de);644.10;1,201,00;182.00;2.15;-6.67;-10.45;644.10;1,201,00;182.00;2.15;-6.67;-10.45;
   Resto CCAA;383.72;927.00;98.00;15.08;-4.31;-6.61;383.72;927.00;98.00;15.08;-4.31;-6.61;
2017M12;;;;;;;;;;;;;
   TOTAL;4,530,66;1,138,00;127.00;0.11;0.31;2.09;87,003,93;1,063,00;137.00;12.39;3.39;5.24;
   Andalucia;610.86;1,197,00;96.00;-5.95;-8.70;-2.17;12,672,87;1,100,00;115.00;11.96;2.94;4.19;
   Illes Balears;115.52;1,164,00;123.00;1.24;3.34;14.41;14,599,89;1,059,00;144.00;12.26;5.79;5.36;
   Canarias;1,539,42;1,225,00;141.00;4.18;3.68;10.06;16,783,59;1,181,00;138.00;11.37;3.89;5.80;
   Cataluña;877.47;1,066,00;153.00;-6.67;8.50;5.30;19,224,09;1,006,00;169.00;10.06;4.42;3.90;
   Comunidad Valenciana;394.24;984.00;81.00;-11.61;-19.10;-19.23;8,528,83;956.00;96.00;14.68;-0.67;5.10;
   Madrid (Comunidad de);649.31;1,364,00;215.00;22.12;10.75;0.95;8,855,09;1,322,00;219.00;16.55;0.61;5.78;
   Resto CCAA;343.82;825.00;86.00;-6.11;-12.58;-7.90;6,339,58;834.00;111.00;14.86;2.99;9.28;
2017M11;;;;;;;;;;;;;
   TOTAL;4,642,35;1,057,00;138.00;10.40;3.00;0.11;82,473,27;1,059,00;138.00;13.15;3.62;5.39;
   Andalucia;612.92;1,076,00;107.00;7.49;3.46;-9.44;12,062,00;1,096,00;116.00;13.05;3.67;4.45;
   Illes Balears;175.89;991.00;120.00;24.41;7.05;-12.46;14,484,37;1,058,00;144.00;12.36;5.82;5.25;
   Canarias;1,511,15;1,219,00;143.00;14.95;7.74;4.96;15,244,16;1,176,00;137.00;12.15;3.94;5.37;
   Cataluña;928.63;946.00;184.00;-5.03;-2.27;7.65;18,346,62;1,003,00;169.00;11.01;4.26;3.72;
   Comunidad Valenciana;415.77;920.00;91.00;12.10;-6.28;-4.14;8,134,58;954.00;97.00;16.35;0.52;6.65;
   Madrid (Comunidad de);638.00;1,194,00;221.00;23.00;4.70;4.12;8,205,78;1,318,00;220.00;16.14;-0.14;6.16;
   Resto CCAA;359.98;822.00;108.00;15.57;3.61;0.11;5,995,75;835.00;113.00;16.36;4.10;10.44;
2017M10;;;;;;;;;;;;;
   TOTAL;7,789,23;1,071,00;143.00;6.21;4.28;5.45;77,830,92;1,059,00;138.00;13.32;3.65;5.71;
   Andalucia;1,233,58;1,102,00;131.00;2.09;-0.21;-3.65;11,449,08;1,097,00;117.00;13.37;3.67;5.27;
   Illes Balears;1,333,27;1,061,00;131.00;10.16;8.92;7.46;14,308,48;1,059,00;145.00;12.22;5.81;5.51;
   Canarias;1,527,06;1,166,00;141.00;6.23;3.05;3.88;13,733,01;1,172,00;137.00;11.85;3.54;5.40;
   Cataluña;1,549,21;1,035,00;186.00;5.60;10.24;6.31;17,417,99;1,006,00;169.00;12.02;4.64;3.57;
   Comunidad Valenciana;743.57;915.00;94.00;9.55;2.64;7.09;7,718,82;956.00;97.00;16.59;0.91;7.28;
   Madrid (Comunidad de);835.19;1,328,00;245.00;5.19;-2.27;10.78;7,567,78;1,330,00;220.00;15.59;-0.52;6.32;
   Resto CCAA;567.35;879.00;133.00;5.50;1.63;19.61;5,635,77;836.00;114.00;16.41;4.13;11.14;
2017M09;;;;;;;;;;;;;
   TOTAL;9,476,29;1,067,00;143.00;12.82;0.82;5.95;70,041,69;1,058,00;137.00;14.17;3.59;5.78;
   Andalucia;1,434,84;1,081,00;126.00;20.96;1.89;11.06;10,215,50;1,096,00;115.00;14.90;4.21;6.51;
   Illes Balears;2,079,60;1,035,00;143.00;13.93;5.54;5.46;12,975,21;1,058,00;146.00;12.44;5.49;5.26;
   Canarias;1,287,18;1,158,00;136.00;14.30;2.25;5.16;12,205,95;1,173,00;136.00;12.60;3.60;5.62;
   Cataluña;2,170,24;1,085,00;183.00;6.41;-0.12;2.84;15,868,78;1,003,00;167.00;12.69;4.09;3.38;
   Comunidad Valenciana;945.82;963.00;101.00;15.54;-8.39;4.49;6,975,24;961.00;97.00;17.39;0.66;7.28;
   Madrid (Comunidad de);870.10;1,361,00;227.00;16.14;5.60;2.96;6,732,59;1,330,00;217.00;17.03;-0.28;5.93;
   Resto CCAA;688.53;852.00;117.00;5.23;-5.99;13.49;5,068,42;831.00;112.00;17.77;4.49;10.46;
2017M08;;;;;;;;;;;;;
   TOTAL;11,340,29;1,091,00;126.00;10.29;6.37;7.64;60,565,40;1,056,00;137.00;14.38;4.03;5.76;
   Andalucia;1,543,01;1,085,00;112.00;7.59;3.97;12.02;8,780,66;1,099,00;114.00;13.97;4.58;5.80;
   Illes Balears;2,779,97;1,182,00;144.00;10.99;8.17;4.46;10,895,62;1,063,00;147.00;12.16;5.48;5.23;
   Canarias;1,517,05;1,301,00;140.00;12.22;6.99;9.64;10,918,77;1,174,00;136.00;12.40;3.76;5.67;
   Cataluña;2,654,65;1,034,00;137.00;10.54;7.68;4.79;13,698,54;991.00;165.00;13.75;4.82;3.56;
   Comunidad Valenciana;1,262,70;1,090,00;92.00;10.96;6.97;10.28;6,029,43;960.00;97.00;17.69;2.11;7.72;
   Madrid (Comunidad de);749.95;1,414,00;195.00;16.37;7.76;7.43;5,862,49;1,326,00;216.00;17.16;-1.13;6.36;
   Resto CCAA;832.96;694.00;91.00;3.16;-2.08;3.64;4,379,89;828.00;111.00;20.02;6.37;10.06;
2017M07;;;;;;;;;;;;;
   TOTAL;11,850,99;1,129,00;139.00;15.75;5.30;6.40;49,225,11;1,048,00;139.00;15.36;3.52;5.16;
   Andalucia;1,600,03;1,180,00;119.00;25.90;12.50;10.77;7,237,65;1,102,00;114.00;15.43;4.71;4.32;
   Illes Balears;2,910,93;1,171,00;157.00;12.33;6.67;5.14;8,115,65;1,028,00;148.00;12.56;4.72;5.50;
   Canarias;1,493,93;1,259,00;148.00;9.62;5.39;6.48;9,401,72;1,156,00;136.00;12.43;3.30;5.05;
   Cataluña;2,805,82;1,097,00;159.00;11.77;4.67;4.43;11,043,89;982.00;174.00;14.55;4.19;2.97;
   Comunidad Valenciana;1,242,73;1,021,00;96.00;22.64;4.85;12.75;4,766,73;931.00;98.00;19.61;1.16;6.83;
   Madrid (Comunidad de);850.21;1,467,00;210.00;7.56;-4.58;13.62;5,112,53;1,314,00;219.00;17.28;-2.34;6.17;
   Resto CCAA;947.33;852.00;113.00;35.45;7.70;6.22;3,546,93;867.00;117.00;24.81;8.31;11.16;
2017M06;;;;;;;;;;;;;
   TOTAL;8,987,77;1,066,00;143.00;14.97;2.98;4.98;37,374,12;1,025,00;139.00;15.24;3.00;4.77;
   Andalucia;1,324,55;1,137,00;118.00;15.28;4.62;-0.36;5,637,62;1,081,00;113.00;12.76;2.69;2.64;
   Illes Balears;2,132,83;1,015,00;145.00;13.79;5.35;5.61;5,204,71;962.00;143.00;12.69;3.84;5.69;
   Canarias;1,113,06;1,076,00;133.00;12.12;1.53;4.29;7,907,79;1,139,00;134.00;12.97;2.98;4.85;
   Cataluña;2,113,55;1,043,00;189.00;18.29;8.04;4.52;8,238,08;948.00;179.00;15.53;4.16;2.27;
   Comunidad Valenciana;780.27;893.00;98.00;12.30;-6.22;4.09;3,524,00;903.00;99.00;18.58;-0.05;4.77;
   Madrid (Comunidad de);905.56;1,522,00;209.00;20.45;-7.81;0.71;4,262,32;1,287,00;221.00;19.43;-1.69;4.33;
   Resto CCAA;617.95;972.00;120.00;8.83;-1.22;14.91;2,599,60;873.00;118.00;21.33;8.59;12.98;
2017M05;;;;;;;;;;;;;
   TOTAL;7,927,07;991.00;145.00;14.59;1.82;2.14;28,386,35;1,013,00;138.00;15.33;3.01;4.71;
   Andalucia;1,238,78;1,053,00;121.00;8.38;0.63;-4.32;4,313,07;1,066,00;111.00;12.01;2.11;3.44;
   Illes Balears;1,617,35;942.00;148.00;11.03;4.28;5.54;3,071,88;928.00;142.00;11.94;2.85;5.73;
   Canarias;1,120,45;1,128,00;137.00;14.12;3.28;4.13;6,794,73;1,150,00;134.00;13.12;3.23;4.94;
   Cataluña;1,820,00;947.00;184.00;19.04;1.03;-3.06;6,124,53;919.00;176.00;14.61;2.92;1.52;
   Comunidad Valenciana;761.08;828.00;100.00;19.51;-0.20;9.76;2,743,72;906.00;99.00;20.50;1.83;4.97;
   Madrid (Comunidad de);829.13;1,327,00;227.00;11.99;0.34;-3.99;3,356,76;1,236,00;224.00;19.16;-0.40;5.38;
   Resto CCAA;540.27;830.00;127.00;25.54;5.98;10.38;1,981,65;846.00;118.00;25.84;12.19;12.40;
2017M04;;;;;;;;;;;;;
   TOTAL;6,782,08;958.00;139.00;20.51;3.57;6.66;20,459,29;1,022,00;136.00;15.62;3.48;5.67;
   Andalucia;1,097,25;1,050,00;124.00;10.66;2.46;12.33;3,074,29;1,071,00;108.00;13.55;2.71;6.52;
   Illes Balears;907.48;909.00;138.00;36.55;5.35;6.90;1,454,53;913.00;135.00;12.96;1.31;6.02;
   Canarias;1,347,77;1,074,00;130.00;20.05;1.86;7.12;5,674,28;1,154,00;133.00;12.92;3.22;5.09;
   Cataluña;1,499,69;855.00;176.00;22.57;3.57;1.84;4,304,53;907.00;173.00;12.84;3.57;3.15;
   Comunidad Valenciana;648.89;865.00;96.00;10.98;-4.81;-0.58;1,982,65;940.00;98.00;20.88;2.69;3.15;
   Madrid (Comunidad de);800.10;1,189,00;225.00;19.54;6.78;5.30;2,527,63;1,208,00;223.00;21.71;-0.45;8.70;
   Resto CCAA;480.90;794.00;113.00;29.41;18.92;10.04;1,441,38;852.00;114.00;25.95;14.59;13.09;
2017M03;;;;;;;;;;;;;
   TOTAL;5,109,49;1,040,00;141.00;10.49;4.04;7.19;13,677,21;1,057,00;134.00;13.33;3.64;5.16;
   Andalucia;814.43;1,130,00;104.00;13.02;7.24;3.45;1,977,04;1,082,00;100.00;15.22;2.82;4.12;
   Illes Balears;297.17;913.00;138.00;-16.62;0.41;6.70;547.06;919.00;131.00;-12.19;-2.80;3.86;
   Canarias;1,510,69;1,177,00;141.00;10.38;3.69;10.67;4,326,51;1,182,00;134.00;10.87;3.84;4.55;
   Cataluña;1,057,89;916.00;196.00;13.98;6.23;10.15;2,804,84;938.00;172.00;8.25;3.99;3.64;
   Comunidad Valenciana;516.26;980.00;102.00;20.57;9.99;2.82;1,333,75;981.00;99.00;26.37;6.77;5.13;
   Madrid (Comunidad de);552.80;1,156,00;239.00;5.32;-16.39;7.66;1,727,53;1,218,00;223.00;22.75;-4.00;10.31;
   Resto CCAA;360.26;849.00;124.00;21.02;16.67;13.60;960.48;884.00;115.00;24.29;12.45;14.64;
2017M02;;;;;;;;;;;;;
   TOTAL;4,304,73;1,045,00;132.00;16.15;3.73;2.18;8,567,72;1,068,00;130.00;15.10;3.35;4.11;
   Andalucia;594.14;1,016,00;99.00;22.08;3.02;7.79;1,162,61;1,051,00;97.00;16.81;-0.06;4.67;
   Illes Balears;147.42;906.00;130.00;-13.30;-12.25;-0.53;249.89;926.00;123.00;-6.27;-7.24;1.24;
   Canarias;1,400,10;1,183,00;128.00;11.00;4.51;-0.30;2,815,82;1,184,00;131.00;11.13;3.92;1.52;
   Cataluña;926.77;937.00;156.00;11.38;4.75;-5.31;1,746,95;952.00;160.00;5.05;2.80;0.11;
   Comunidad Valenciana;425.36;991.00;105.00;33.29;8.52;11.97;817.49;982.00;98.00;30.33;4.56;6.77;
   Madrid (Comunidad de);544.17;1,207,00;234.00;30.36;-3.79;1.81;1,174,73;1,249,00;216.00;33.11;3.31;12.62;
   Resto CCAA;266.76;838.00;119.00;21.53;11.95;9.18;600.22;906.00;111.00;26.34;9.50;15.42;
2017M01;;;;;;;;;;;;;
   TOTAL;4,262,99;1,091,00;129.00;14.07;2.99;5.97;4,262,99;1,091,00;129.00;14.07;2.99;5.97;
   Andalucia;568.47;1,089,00;96.00;11.78;-2.90;1.64;568.47;1,089,00;96.00;11.78;-2.90;1.64;
   Illes Balears;102.47;956.00;114.00;6.13;1.39;5.58;102.47;956.00;114.00;6.13;1.39;5.58;
   Canarias;1,415,72;1,186,00;134.00;11.26;3.33;3.40;1,415,72;1,186,00;134.00;11.26;3.33;3.40;
   Cataluña;820.18;969.00;163.00;-1.29;1.00;6.07;820.18;969.00;163.00;-1.29;1.00;6.07;
   Comunidad Valenciana;392.13;973.00;92.00;27.26;0.48;1.73;392.13;973.00;92.00;27.26;0.48;1.73;
   Madrid (Comunidad de);630.57;1,287,00;203.00;35.58;9.99;21.30;630.57;1,287,00;203.00;35.58;9.99;21.30;
   Resto CCAA;333.45;969.00;105.00;30.47;6.51;20.59;333.45;969.00;105.00;30.47;6.51;20.59;
2016M12;;;;;;;;;;;;;
   TOTAL;4,525,45;1,134,00;124.00;19.93;5.58;6.72;77,415,54;1,028,00;130.00;9.21;-1.14;4.08;
   Andalucia;649.54;1,311,00;98.00;17.23;5.69;28.35;11,318,92;1,069,00;110.00;8.14;-4.64;2.95;
   Illes Balears;114.11;1,126,00;108.00;15.63;9.44;0.66;13,005,65;1,001,00;137.00;10.13;-1.22;5.71;
   Canarias;1,477,69;1,182,00;128.00;23.32;3.97;-1.77;15,070,27;1,137,00;130.00;11.78;-1.50;1.46;
   Cataluña;940.18;983.00;146.00;8.41;0.89;3.40;17,466,80;963.00;162.00;3.98;-0.38;13.38;
   Comunidad Valenciana;446.01;1,216,00;100.00;41.90;23.95;8.46;7,437,32;962.00;91.00;16.59;-0.88;-1.92;
   Madrid (Comunidad de);531.71;1,231,00;213.00;32.19;1.77;-1.14;7,597,41;1,314,00;207.00;15.76;1.48;5.02;
   Resto CCAA;366.21;943.00;93.00;8.20;4.02;2.68;5,519,18;810.00;102.00;2.40;-2.63;-1.04;
2016M11;;;;;;;;;;;;;
   TOTAL;4,205,06;1,026,00;138.00;8.58;-0.52;6.48;72,890,09;1,022,00;131.00;8.61;-1.53;3.95;
   Andalucia;570.24;1,040,00;119.00;7.53;-4.30;14.49;10,669,38;1,057,00;111.00;7.64;-5.19;1.41;
   Illes Balears;141.38;926.00;137.00;7.94;-11.20;31.70;12,891,54;1,000,00;137.00;10.09;-1.30;5.78;
   Canarias;1,314,59;1,131,00;136.00;5.61;0.26;4.19;13,592,57;1,132,00;130.00;10.66;-2.05;1.80;
   Cataluña;977.77;968.00;171.00;1.44;3.38;22.77;16,526,61;962.00;163.00;3.74;-0.45;14.02;
   Comunidad Valenciana;370.88;981.00;95.00;31.29;10.93;-9.76;6,991,31;949.00;90.00;15.28;-2.13;-2.52;
   Madrid (Comunidad de);518.71;1,140,00;212.00;14.38;-6.67;-2.11;7,065,70;1,320,00;207.00;14.68;1.53;5.39;
   Resto CCAA;311.50;794.00;108.00;16.69;-5.35;-8.60;5,152,97;802.00;102.00;2.02;-3.06;-1.28;
2016M10;;;;;;;;;;;;;
   TOTAL;7,333,85;1,027,00;136.00;16.77;5.23;13.11;68,685,02;1,022,00;130.00;8.61;-1.59;3.81;
   Andalucia;1,208,36;1,104,00;136.00;15.21;4.92;40.21;10,099,14;1,058,00;111.00;7.64;-5.25;0.72;
   Illes Balears;1,210,30;974.00;122.00;29.76;3.59;5.39;12,750,16;1,001,00;137.00;10.11;-1.18;5.48;
   Canarias;1,437,55;1,132,00;136.00;25.04;7.70;11.61;12,277,98;1,132,00;130.00;11.23;-2.31;1.57;
   Cataluña;1,467,10;939.00;175.00;5.34;2.57;19.85;15,548,84;961.00;163.00;3.88;-0.70;13.49;
   Comunidad Valenciana;678.74;891.00;88.00;23.97;1.62;2.08;6,620,43;948.00;90.00;14.49;-2.77;-2.21;
   Madrid (Comunidad de);794.02;1,359,00;221.00;12.96;8.70;-7.53;6,547,00;1,337,00;207.00;14.71;2.29;5.97;
   Resto CCAA;537.78;865.00;111.00;6.25;9.56;11.60;4,841,47;802.00;102.00;1.20;-2.92;-0.94;
2016M09;;;;;;;;;;;;;
   TOTAL;8,399,31;1,059,00;135.00;10.30;0.71;3.13;61,351,17;1,021,00;130.00;7.71;-2.34;2.79;
   Andalucia;1,186,24;1,061,00;113.00;2.09;-8.03;-5.12;8,890,78;1,052,00;108.00;6.69;-6.50;-3.42;
   Illes Balears;1,825,36;981.00;135.00;6.85;-2.10;6.42;11,539,86;1,003,00;139.00;8.39;-1.57;5.72;
   Canarias;1,126,13;1,133,00;130.00;10.92;-2.73;-0.04;10,840,43;1,132,00;129.00;9.62;-3.48;0.39;
   Cataluña;2,039,46;1,087,00;178.00;9.31;5.85;16.00;14,081,74;964.00;162.00;3.74;-1.04;12.88;
   Comunidad Valenciana;818.58;1,051,00;97.00;20.52;4.22;-3.13;5,941,69;954.00;91.00;13.50;-3.20;-2.65;
   Madrid (Comunidad de);749.21;1,289,00;220.00;31.87;6.77;2.57;5,752,97;1,334,00;205.00;14.95;1.41;7.74;
   Resto CCAA;654.33;906.00;103.00;6.17;2.43;-5.20;4,303,69;795.00;101.00;0.60;-4.33;-2.34;
2016M08;;;;;;;;;;;;;
   TOTAL;10,281,98;1,025,00;117.00;4.13;-2.08;0.31;52,951,86;1,015,00;129.00;7.31;-2.81;2.72;
   Andalucia;1,434,18;1,043,00;100.00;0.54;-4.95;-4.33;7,704,54;1,051,00;107.00;7.44;-6.25;-3.12;
   Illes Balears;2,504,59;1,093,00;138.00;0.70;-1.82;3.63;9,714,50;1,008,00;140.00;8.68;-1.47;5.57;
   Canarias;1,351,88;1,216,00;128.00;4.09;-4.64;-4.26;9,714,30;1,132,00;129.00;9.47;-3.56;0.43;
   Cataluña;2,401,50;960.00;130.00;1.21;-3.17;9.78;12,042,27;946.00;159.00;2.85;-2.10;12.33;
   Comunidad Valenciana;1,137,94;1,019,00;83.00;12.38;0.77;-2.54;5,123,12;941.00;90.00;12.46;-4.29;-2.65;
   Madrid (Comunidad de);644.43;1,312,00;181.00;22.47;3.57;-13.70;5,003,77;1,341,00;203.00;12.79;0.77;8.18;
   Resto CCAA;807.45;709.00;88.00;7.56;0.69;-2.96;3,649,36;778.00;101.00;-0.34;-5.43;-1.89;
2016M07;;;;;;;;;;;;;
   TOTAL;10,238,54;1,073,00;131.00;7.75;-2.03;5.84;42,669,88;1,013,00;132.00;8.10;-2.98;3.30;
   Andalucia;1,270,92;1,049,00;108.00;-3.56;-13.36;1.28;6,270,36;1,052,00;109.00;9.15;-6.59;-2.93;
   Illes Balears;2,591,32;1,098,00;149.00;9.80;-2.23;7.64;7,209,91;981.00;140.00;11.76;-1.06;6.30;
   Canarias;1,362,79;1,195,00;139.00;16.23;-4.80;-0.70;8,362,43;1,119,00;129.00;10.40;-3.33;1.24;
   Cataluña;2,510,37;1,048,00;152.00;3.21;-0.32;16.18;9,640,77;942.00;169.00;3.26;-1.83;13.04;
   Comunidad Valenciana;1,013,35;973.00;85.00;10.42;-4.30;-0.25;3,985,18;920.00;92.00;12.48;-5.59;-2.68;
   Madrid (Comunidad de);790.42;1,538,00;185.00;24.93;6.79;-15.45;4,359,33;1,346,00;206.00;11.48;0.42;11.71;
   Resto CCAA;699.37;791.00;106.00;4.61;6.51;8.59;2,841,91;800.00;105.00;-2.38;-6.96;-1.17;
2016M06;;;;;;;;;;;;;
   TOTAL;7,817,41;1,035,00;136.00;12.77;-0.11;1.77;32,431,34;995.00;133.00;8.21;-3.25;2.48;
   Andalucia;1,148,96;1,087,00;119.00;14.62;-0.55;0.99;4,999,44;1,053,00;110.00;12.93;-4.59;-4.28;
   Illes Balears;1,874,36;963.00;137.00;12.87;0.66;6.33;4,618,59;926.00;135.00;12.89;-0.34;5.70;
   Canarias;992.78;1,060,00;128.00;16.39;-1.98;1.44;6,999,63;1,106,00;127.00;9.33;-3.15;1.48;
   Cataluña;1,786,82;965.00;181.00;3.49;-4.41;8.35;7,130,40;910.00;175.00;3.29;-2.29;11.75;
   Comunidad Valenciana;694.84;952.00;94.00;13.65;-1.46;-3.90;2,971,83;904.00;94.00;13.20;-5.97;-3.70;
   Madrid (Comunidad de);751.84;1,651,00;208.00;38.39;17.40;3.19;3,568,91;1,309,00;212.00;8.89;-0.98;18.11;
   Resto CCAA;567.80;984.00;105.00;6.08;-4.35;-14.77;2,142,53;804.00;105.00;-4.46;-11.01;-4.07;
2016M05;;;;;;;;;;;;;
   TOTAL;6,917,93;973.00;142.00;8.54;0.33;4.59;24,613,93;983.00;132.00;6.84;-4.21;2.65;
   Andalucia;1,143,03;1,047,00;126.00;14.50;-0.50;4.27;3,850,48;1,044,00;107.00;12.44;-5.73;-5.72;
   Illes Balears;1,456,62;903.00;141.00;12.11;2.14;3.26;2,744,23;902.00;134.00;12.90;-0.98;5.27;
   Canarias;981.78;1,092,00;131.00;10.75;0.34;4.00;6,006,85;1,114,00;127.00;8.24;-3.29;1.48;
   Cataluña;1,528,96;938.00;190.00;3.88;4.28;9.17;5,343,58;893.00;174.00;3.22;-1.64;12.84;
   Comunidad Valenciana;636.84;830.00;91.00;13.47;-6.41;-6.09;2,276,99;890.00;94.00;13.06;-7.26;-3.63;
   Madrid (Comunidad de);740.33;1,322,00;237.00;6.02;3.18;31.81;2,817,07;1,241,00;213.00;3.02;-5.05;21.30;
   Resto CCAA;430.35;783.00;115.00;-6.03;-10.13;2.48;1,574,73;754.00;105.00;-7.76;-13.33;-0.72;
2016M04;;;;;;;;;;;;;
   TOTAL;5,627,99;925.00;130.00;4.22;-6.60;1.99;17,696,00;988.00;128.00;6.19;-5.97;1.92;
   Andalucia;991.56;1,025,00;111.00;15.02;-0.53;-4.28;2,707,45;1,042,00;101.00;11.59;-7.88;-9.15;
   Illes Balears;664.60;863.00;129.00;5.52;-4.48;0.19;1,287,61;901.00;128.00;13.81;-4.55;7.44;
   Canarias;1,122,64;1,054,00;121.00;9.13;-6.48;0.10;5,025,07;1,118,00;127.00;7.77;-3.99;1.00;
   Cataluña;1,223,54;825.00;173.00;-6.09;-8.93;13.79;3,814,62;876.00;168.00;2.95;-3.85;14.09;
   Comunidad Valenciana;584.71;909.00;97.00;17.41;0.85;1.79;1,640,14;916.00;95.00;12.90;-7.61;-2.64;
   Madrid (Comunidad de);669.34;1,114,00;213.00;2.79;-10.33;17.66;2,076,73;1,214,00;205.00;2.00;-7.72;18.01;
   Resto CCAA;371.61;668.00;102.00;-13.06;-23.02;-2.11;1,144,38;743.00;101.00;-8.40;-14.47;-1.83;
2016M03;;;;;;;;;;;;;
   TOTAL;4,624,47;999.00;131.00;9.43;-5.21;0.23;12,068,01;1,020,00;127.00;7.14;-5.72;1.91;
   Andalucia;720.63;1,054,00;101.00;16.84;-10.05;-8.67;1,715,89;1,052,00;96.00;9.70;-12.00;-11.69;
   Illes Balears;356.42;909.00;129.00;35.58;-5.39;10.65;623.01;945.00;126.00;24.22;-5.47;16.57;
   Canarias;1,368,60;1,135,00;128.00;12.74;-0.67;-0.13;3,902,43;1,138,00;128.00;7.38;-3.20;1.30;
   Cataluña;928.09;862.00;178.00;-2.17;-4.80;7.77;2,591,08;902.00;165.00;7.85;-1.26;14.49;
   Comunidad Valenciana;428.19;891.00;99.00;9.57;-12.58;-4.06;1,055,43;919.00;95.00;10.55;-12.05;-4.94;
   Madrid (Comunidad de);524.86;1,383,00;222.00;4.17;0.16;18.92;1,407,40;1,268,00;202.00;1.63;-6.27;18.14;
   Resto CCAA;297.68;728.00;109.00;3.05;-11.87;2.92;772.76;786.00;101.00;-5.97;-9.63;-1.65;
2016M02;;;;;;;;;;;;;
   TOTAL;3,706,27;1,007,00;129.00;8.02;-5.20;4.75;7,443,53;1,033,00;125.00;5.76;-5.99;2.81;
   Andalucia;486.69;987.00;92.00;-1.94;-18.74;-14.20;995.26;1,051,00;93.00;5.04;-13.28;-13.80;
   Illes Balears;170.04;1,032,00;131.00;38.73;2.49;27.47;266.59;998.00;122.00;11.72;-4.65;21.99;
